,frame,team,time,value,period
618,21861,Away,874.44,1.0,1
619,21886,Away,875.44,1.0,1
620,21911,Away,876.44,1.0,1
621,21936,Away,877.44,1.0,1
622,21961,Away,878.44,1.0,1
623,21986,Away,879.44,1.0,1
624,22011,Away,880.44,1.0,1
625,22036,Away,881.44,0.9,1
626,22061,Away,882.44,1.0,1
627,22086,Away,883.44,1.0,1
628,22111,Away,884.44,0.9,1
629,22136,Away,885.44,0.9,1
630,22161,Away,886.44,0.9,1
631,22186,Away,887.44,0.9,1
632,22211,Away,888.44,0.9,1
633,22236,Away,889.44,1.0,1
634,22261,Away,890.44,1.0,1
635,22286,Away,891.44,1.0,1
636,22311,Away,892.44,1.1,1
637,22336,Away,893.44,1.2,1
638,22361,Away,894.44,1.2,1
639,22386,Away,895.44,1.2,1
640,22411,Away,896.44,1.1,1
641,22436,Away,897.44,1.3,1
642,22461,Away,898.44,1.6,1
643,22486,Away,899.44,2.0,1
644,22511,Home,900.44,0.6,1
645,22536,Home,901.44,0.6,1
646,22561,Away,902.44,1.6,1
647,22586,Away,903.44,1.3,1
648,22611,Home,904.44,0.6,1
649,22636,Home,905.44,0.7,1
650,22661,Home,906.44,0.7,1
651,22686,Away,907.44,1.1,1
652,22711,Away,908.44,1.2,1
653,22736,Away,909.44,1.3,1
654,22761,Away,910.44,1.4,1
655,22786,Away,911.44,1.4,1
656,22811,Away,912.44,1.8,1
657,22836,Home,913.44,0.5,1
658,23092,Away,923.68,1.9,1
659,23117,Away,924.68,2.0,1
660,23142,Away,925.68,2.0,1
661,23167,Away,926.68,1.9,1
662,23192,Away,927.68,1.8,1
663,23217,Away,928.68,1.7,1
664,23242,Away,929.68,1.7,1
665,23267,Away,930.68,1.5,1
666,23292,Away,931.68,1.4,1
667,23317,Away,932.68,1.3,1
668,23342,Away,933.68,1.3,1
669,23367,Away,934.68,1.3,1
670,23392,Away,935.68,1.4,1
671,23417,Away,936.68,1.4,1
672,23442,Away,937.68,1.2,1
673,23467,Away,938.68,1.3,1
674,23492,Away,939.68,1.2,1
675,23517,Away,940.68,1.1,1
676,23542,Away,941.68,1.4,1
677,23567,Away,942.68,1.5,1
678,23592,Away,943.68,1.6,1
679,23617,Away,944.68,1.4,1
680,23642,Home,945.68,0.7,1
681,23667,Home,946.68,0.7,1
682,23692,Home,947.68,0.8,1
683,23717,Home,948.68,0.8,1
684,23742,Home,949.68,0.8,1
685,23767,Home,950.68,0.8,1
686,23792,Home,951.68,0.8,1
687,23817,Home,952.68,0.7,1
688,23842,Home,953.68,0.7,1
689,23867,Home,954.68,0.7,1
690,23892,Home,955.68,0.7,1
691,23917,Home,956.68,0.7,1
692,23942,Home,957.68,0.7,1
693,23967,Home,958.68,0.7,1
694,23992,Home,959.68,0.6,1
695,24017,Home,960.68,0.6,1
696,24042,Home,961.68,0.7,1
697,24067,Home,962.68,0.7,1
698,24092,Home,963.68,0.6,1
699,24117,Home,964.68,0.6,1
700,24142,Home,965.68,0.6,1
701,24167,Away,966.68,1.4,1
702,24192,Away,967.68,1.4,1
703,24217,Home,968.68,0.7,1
704,24242,Home,969.68,0.8,1
705,24267,Home,970.68,0.8,1
706,24292,Home,971.68,0.8,1
707,24317,Home,972.68,0.8,1
708,24342,Home,973.68,0.8,1
709,24367,Home,974.68,0.8,1
710,24392,Home,975.68,0.8,1
711,24417,Home,976.68,0.8,1
712,24442,Home,977.68,0.8,1
713,24467,Home,978.68,0.8,1
714,24492,Home,979.68,0.8,1
715,24517,Home,980.68,0.8,1
716,24542,Home,981.68,0.8,1
717,24567,Home,982.68,0.9,1
718,24592,Home,983.68,1.0,1
719,24617,Home,984.68,1.1,1
720,24642,Home,985.68,1.2,1
721,24667,Home,986.68,1.6,1
722,24692,Home,987.68,1.6,1
723,24717,Home,988.68,1.6,1
724,24742,Away,989.68,0.6,1
725,25750,Home,1030.0,3.0,1
726,25775,Home,1031.0,2.9,1
727,25800,Home,1032.0,2.8,1
728,25825,Home,1033.0,2.4,1
729,25850,Home,1034.0,2.1,1
730,25875,Away,1035.0,0.6,1
731,26329,Away,1053.16,0.7,1
732,26354,Away,1054.16,0.7,1
733,26379,Away,1055.16,0.7,1
734,26404,Away,1056.16,0.7,1
735,26429,Away,1057.16,0.7,1
736,26454,Away,1058.16,0.8,1
737,26479,Away,1059.16,0.8,1
738,26504,Away,1060.16,0.8,1
739,26529,Away,1061.16,0.8,1
740,26554,Away,1062.16,0.8,1
741,26579,Away,1063.16,0.8,1
742,26604,Away,1064.16,0.8,1
743,26629,Away,1065.16,0.8,1
744,26654,Away,1066.16,0.8,1
745,26679,Away,1067.16,0.8,1
746,26704,Away,1068.16,0.8,1
747,26729,Away,1069.16,0.8,1
748,26754,Away,1070.16,0.9,1
749,26779,Away,1071.16,0.9,1
750,26804,Away,1072.16,0.9,1
751,26829,Away,1073.16,0.9,1
752,26854,Away,1074.16,0.9,1
753,26879,Away,1075.16,0.8,1
754,26904,Away,1076.16,0.8,1
755,26929,Away,1077.16,0.8,1
756,26954,Away,1078.16,0.8,1
757,26979,Away,1079.16,0.8,1
758,27004,Away,1080.16,0.8,1
759,27029,Away,1081.16,0.8,1
760,27054,Away,1082.16,0.9,1
761,27079,Away,1083.16,0.9,1
762,27104,Away,1084.16,0.8,1
763,27129,Away,1085.16,0.9,1
764,27154,Home,1086.16,1.0,1
765,27179,Home,1087.16,1.0,1
766,27204,Home,1088.16,1.0,1
