,possession,team_name,obv_total_net_sum,obv_total_net_mean,possession minute,possession second,possession end minute,possession end second
184,125,Arsenal WFC,0.005596878099999999,0.0003731252066666666,63,24,63,52
185,125,Manchester City WFC,0.0057883775,0.0057883775,63,24,63,52
186,126,Arsenal WFC,0.011446884,0.011446884,64,8,64,9
187,126,Manchester City WFC,-0.0068366854,-0.002278895133333333,64,8,64,9
188,127,Arsenal WFC,-0.0012666340000000009,-0.00014073711111111122,64,11,64,24
189,128,Arsenal WFC,-0.0017617634,-0.0017617634,64,44,64,52
190,128,Manchester City WFC,0.0063993712,0.0015998428,64,44,64,52
191,129,Arsenal WFC,0.00261854,0.00261854,65,29,65,35
192,129,Manchester City WFC,-0.0013212495000000002,-0.00022020825000000003,65,29,65,35
193,130,Arsenal WFC,-0.0032427493,-0.00162137465,65,41,65,43
194,131,Arsenal WFC,-0.111214691,-0.0556073455,65,43,66,12
195,131,Manchester City WFC,0.1631788015,0.0148344365,65,43,66,12
196,132,Arsenal WFC,-0.06964927100000001,-0.034824635500000006,67,3,67,58
197,132,Manchester City WFC,0.05259825500000001,0.0030940150000000007,67,3,67,58
198,133,Arsenal WFC,-0.027401798900000003,-0.0019572713500000003,68,14,68,46
199,133,Manchester City WFC,-0.0059917583,-0.0059917583,68,14,68,46
200,134,Manchester City WFC,0.0013448590000000038,0.00033621475000000095,68,48,68,53
201,135,Arsenal WFC,0.006248381,0.006248381,68,54,68,54
202,136,Arsenal WFC,-0.0054619187,-0.0054619187,69,0,69,2
203,137,Arsenal WFC,0.009106332,0.009106332,69,5,69,9
204,138,Arsenal WFC,-0.001568947,-0.0007844735,69,10,69,12
205,139,Arsenal WFC,-0.0029149475,-0.0029149475,69,12,71,31
206,139,Manchester City WFC,-0.005538090999999999,-0.0027690454999999997,69,12,71,31
207,140,Arsenal WFC,-0.0107042114,-0.0017840352333333333,71,36,71,52
208,140,Manchester City WFC,-0.0018387939000000016,-0.0006129313000000006,71,36,71,52
209,141,Arsenal WFC,0.0034254324,0.0034254324,71,52,72,9
210,141,Manchester City WFC,0.012031113899999998,0.001093737627272727,71,52,72,9
211,142,Arsenal WFC,0.0146602473,0.0016289163666666666,72,24,72,38
212,142,Manchester City WFC,-0.0040803836,-0.0040803836,72,24,72,38
213,143,Arsenal WFC,-0.007860630600000005,-0.0009825788250000006,72,45,73,6
214,143,Manchester City WFC,-0.0097782607,-0.00195565214,72,45,73,6
215,144,Arsenal WFC,0.001119935,0.001119935,73,42,73,46
216,144,Manchester City WFC,-0.0011199349999999999,-0.0005599674999999999,73,42,73,46
217,145,Arsenal WFC,-0.006809846999999999,-0.0011349745,74,3,74,6
218,146,Arsenal WFC,-0.0002792012,-0.0002792012,74,7,74,18
219,146,Manchester City WFC,0.007747655399999999,0.0008608505999999999,74,7,74,18
220,147,Manchester City WFC,-0.004638128099999999,-0.0005797660124999998,74,38,74,48
221,148,Arsenal WFC,-0.0011054829000000004,-9.212357500000003e-05,74,51,75,11
222,148,Manchester City WFC,0.0028002903999999997,0.0009334301333333333,74,51,75,11
223,149,Arsenal WFC,-0.0023109041,-0.00046218082,75,16,75,24
224,150,Manchester City WFC,-0.005348783999999995,-0.0004862530909090905,75,29,75,38
225,151,Arsenal WFC,0.0431765872,0.0033212759384615383,75,39,75,59
226,152,Arsenal WFC,0.03832828,0.03832828,75,59,76,8
